,movie_id,original_title,tags
0,19995,avatar,"22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn follow order protect alien civilization. cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] samworthington zoesaldana jamescameron"
1,285,pirates of the caribbean: at world's end,"captain barbossa, long believ dead, come back life head edg earth turner elizabeth swann. noth quit seems. ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } ] johnnydepp orlandobloom goreverbinski"
2,206647,spectre,"cryptic messag bond’ past send trail uncov sinist organization. battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre. spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 0 , "" n e "" : "" c r e "" } ] danielcraig christophwaltz sammend"
3,49026,the dark knight rises,"follow death district attorney harvey dent, batman assum respons dent' crime protect late attorney' reput subsequ hunt gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader overwhelm gotham' finest. dark knight resurfac protect citi brand enemy. dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 0 , "" n e "" : "" c r e "" } , { "" "" : 1 8 , "" n e "" : "" r "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] christianbal michaelcain christophernolan"
4,49529,john carter,"john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. world brink collapse, carter rediscov human realiz surviv barsoom peopl rest hands. basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] taylorkitsch lynncollin andrewstanton"
5,559,spider-man 3,"seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman. spider-man’ superpow alter alien organism, alter ego, peter parker, deal nemesi eddi brock also get caught love triangle. dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng [ { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] tobeymaguir kirstendunst samraimi"
6,38757,tangled,"kingdom' wanted-and charming-bandit flynn rider hide mysteri tower, he' taken hostag rapunzel, beauti feisti tower-bound teen 70 feet magical, golden hair. flynn' curiou captor, who' look ticket tower lock away years, strike deal handsom thief unlik duo set action-pack escapade, complet super-cop horse, over-protect chameleon gruff gang pub thugs. hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick [ { "" "" : 1 6 , "" n e "" : "" n n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } ] zacharylevi mandymoor byronhoward"
7,99861,avengers: age of ultron,"toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero put ultim test fate planet hang balance. villain ultron emerges, aveng stop enact terribl plans, soon uneasi allianc unexpect action pave way epic uniqu global adventure. marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] robertdowneyjr. chrishemsworth josswhedon"
8,767,harry potter and the half-blood prince,"harri begin sixth year hogwarts, discov old book mark 'properti half-blood prince', begin learn lord voldemort' dark past. witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } ] danielradcliff rupertgrint davidy"
9,209112,batman v superman: dawn of justice,"fear action god-lik super hero left unchecked, gotham city’ formidable, forc vigilant take metropolis’ revered, modern-day savior, world wrestl sort hero realli needs. batman superman war one another, new threat quickli arises, put mankind greater danger it’ ever known before. dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] benaffleck henrycavil zacksnyd"
